addr,name,size,decomp_ok
0801b21c,FUN_0801b21c,462,1
0801b3ec,FUN_0801b3ec,76,1
0801b438,FUN_0801b438,2078,1
0801bc58,FUN_0801bc58,38,1
0801bc80,FUN_0801bc80,796,1
0801bf9c,FUN_0801bf9c,462,1
0801c16c,FUN_0801c16c,146,1
0801c200,FUN_0801c200,502,1
0801c3f8,FUN_0801c3f8,318,1
0801c538,FUN_0801c538,456,1
0801c700,FUN_0801c700,20,1
0801c714,FUN_0801c714,16,1
0801c724,FUN_0801c724,104,1
0801c78c,FUN_0801c78c,194,1
0801c850,FUN_0801c850,98,1
0801c8b4,FUN_0801c8b4,670,1
0801cb54,FUN_0801cb54,122,1
0801cbd0,FUN_0801cbd0,264,1
0801ccd8,FUN_0801ccd8,248,1
0801cdd0,FUN_0801cdd0,316,1
0801cf0c,FUN_0801cf0c,12,1
0801cf18,FUN_0801cf18,12,1
0801cf24,FUN_0801cf24,12,1
0801cf30,FUN_0801cf30,24,1
0801cf48,FUN_0801cf48,182,1
0801d000,FUN_0801d000,78,1
0801d050,FUN_0801d050,78,1
0801d0a0,FUN_0801d0a0,96,1
0801d100,FUN_0801d100,316,1
0801d23c,FUN_0801d23c,176,1
0801d2ec,FUN_0801d2ec,148,1
0801d380,FUN_0801d380,138,1
0801d40c,FUN_0801d40c,78,1
0801d45c,FUN_0801d45c,846,1
0801d7c0,FUN_0801d7c0,38,1
0801d7f0,FUN_0801d7f0,34,1
0801d818,FUN_0801d818,34,1
0801d890,FUN_0801d890,210,1
0801d9d8,FUN_0801d9d8,50,1
0801da10,FUN_0801da10,86,1
0801da6c,FUN_0801da6c,26,1
0801da86,FUN_0801da86,48,1
0801dacc,FUN_0801dacc,118,1
0801dc14,FUN_0801dc14,160,1
0801dccc,FUN_0801dccc,56,1
0801ddc4,FUN_0801ddc4,160,1
0801de94,FUN_0801de94,70,1
0801defc,FUN_0801defc,22,1
0801df12,FUN_0801df12,90,1
0801df6c,FUN_0801df6c,66,1
0801dfb0,FUN_0801dfb0,44,1
0801dfe0,FUN_0801dfe0,34,1
0801e008,FUN_0801e008,40,1
0801e034,FUN_0801e034,30,1
0801e058,FUN_0801e058,38,1
0801e080,FUN_0801e080,88,1
0801e0dc,FUN_0801e0dc,258,1
0801e208,FUN_0801e208,508,1
0801e458,FUN_0801e458,296,1
0801e5b8,FUN_0801e5b8,122,1
0801e632,FUN_0801e632,58,1
0801e670,FUN_0801e670,30,1
0801e698,FUN_0801e698,338,1
0801e814,FUN_0801e814,64,1
0801e880,FUN_0801e880,10,1
0801e890,FUN_0801e890,316,1
0801ea04,FUN_0801ea04,6,1
0801ea10,FUN_0801ea10,366,1
0801eb94,FUN_0801eb94,14,1
0801eba4,FUN_0801eba4,1696,1
0801f280,FUN_0801f280,36,1
0801f2a4,FUN_0801f2a4,46,1
0801f2e8,FUN_0801f2e8,10,1
0801f2f4,FUN_0801f2f4,304,1
0801f4a8,FUN_0801f4a8,10,1
0801f4b8,FUN_0801f4b8,14,1
0801f4c6,FUN_0801f4c6,22,1
0801f4dc,FUN_0801f4dc,50,1
0801f68c,FUN_0801f68c,48,1
0801f6bc,FUN_0801f6bc,78,1
0801f70a,FUN_0801f70a,270,1
0801f818,FUN_0801f818,86,1
0801f87c,FUN_0801f87c,86,1
0801f8e0,FUN_0801f8e0,30,1
0801f8fe,FUN_0801f8fe,54,1
0801f934,FUN_0801f934,20,1
0801f948,FUN_0801f948,56,1
